bm25_w,dense_w,mrr@5,hit@5,ndcg@5
0.0,1.0,0.7333,0.875,0.4865
0.05,0.95,0.86,0.95,0.6461
0.1,0.9,0.9113,0.975,0.7078
0.15,0.85,0.9258,0.975,0.7492
0.2,0.8,0.9208,0.95,0.7547
0.25,0.75,0.9208,0.95,0.7659
0.3,0.7,0.8917,0.95,0.7619
0.35,0.65,0.9042,0.95,0.77
0.4,0.6,0.9092,0.975,0.7669
0.45,0.55,0.9092,0.975,0.774
0.5,0.5,0.9042,0.95,0.7655
0.55,0.45,0.9042,0.95,0.7588
0.6,0.4,0.9042,0.95,0.7564
0.65,0.35,0.9042,0.95,0.7535
0.7,0.3,0.9042,0.95,0.7499
0.75,0.25,0.9042,0.95,0.7465
0.8,0.2,0.9021,0.95,0.7448
0.85,0.15,0.9021,0.95,0.7442
0.9,0.1,0.9021,0.95,0.7374
0.95,0.05,0.9021,0.95,0.7275
1.0,0.0,0.9021,0.95,0.7263
